Rj_CleJour,Rj_Date,"Rj_TypeRando",Rj_NombreParticipants,"Rj_Titre","Rj_NomDuProgramme",Rj_DistanceInferieure,Rj_DistanceCalculee,Rj_DistanceSuperieure,Rj_Unite,Rj_Allure,Rj_HeureDepartAllerA,Rj_HeureChgtArriveeAllerA,Rj_HeureChgtDepartAllerA,Rj_HeureArriveeAllerA,Rj_HeureDepartRetourA,Rj_HeureChgtArriveeRetourA,Rj_HeureChgtDepartRetourA,Rj_HeureArriveeRetourA,"Rj_AllerGareDepart","Rj_AllerChangementNb","Rj_AllerGareArrivee","Rj_Itineraire","Rj_RetourGareDepart","Rj_RetourChangementNb","Rj_RetourGareArrivee","Rj_MultiDates","Rj_HorairesVerification","Rj_Commentaires",Rj_Efface,Rj_SyncLocal,Rj_SyncDistant
31018,2016-08-02,"Journée",0,,"Franck Tatibouet",17,17,17,1,2,1999/12/30 09:46:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:48:00,1999/12/30 16:48:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:12:00,"Paris Est",,"Longueville (zone 5)","Septveilles le Bas, les Grattons, Chalautre la Petite.","Provins (zone 5)",,"Paris Est",,,"IGN 2616 O.",N,,
31035,2016-08-02,"Journée",12,,"Claude B",35,35,35,1,3,1999/12/30 08:21:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 08:45:00,1999/12/30 17:41:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:07:00,"Paris St Lazare",,"Villennes sur Seine (zone 5)"," Dénivelées.","Villennes sur Seine",,"Paris St Lazare",,,,N,,
31036,2016-08-02,"Nordique",0,"Marche nordique ","Jean Pradeau",2,8,,2,2,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:00:00,1999/12/30 12:15:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,,,"métro Château de Vincennes","Improvisations dans le bois après échauffements puis étirements en fin de séance. Accessible aux débutants possédant leurs bâtons, pas de location possible. Rendez-vous Esplanade St Louis à 9h15 devant les bancs où l'on pratique les échauffements. Pauses boisson, n'oubliez pas votre eau.","métro Château de Vincennes vers",,,,,,N,,
30952,2016-08-02,"Journée",10,"Balade de Montigny à Thomery","Daniel Albani",26,27,27,1,2,1999/12/30 08:19:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:12:00,1999/12/30 16:56:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:41:00,"Paris Gare de Lyon",,"Montigny sur Loing (zone 5)","Bourron-Marlotte, sentier bleu en forêt le Long Rocher, Haut Mont, Moret-s/Loing. Dénivelées.","Thomery (zone 5)",,"Paris Gare de Lyon",,,"IGN 2417 OT.",N,,
30953,2016-08-02,"Journée",0,"Journée en forêt","Le Samaritain",15,15,15,1,2,1999/12/30 10:16:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 10:49:00,1999/12/30 16:22:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:53:00,"Paris Gare de Lyon RER D",,"Ris Orangis (zone 5)","Bords de Seine, Bois Chardon, domaine régional du Bois Chardon, forêt domaniale de Sénart, Brunoy.","Boussy St Antoine (zone 5)",,"Paris Gare de Lyon",,,"IGN 2415 OT.",N,,
31153,2016-08-02,"Surprise",13,,"Patrick Richard et Claude Richard",11,11,11,1,2,1999/12/30 18:08:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 18:32:00,1999/12/30 21:58:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 22:23:00,"Châtelet Les Halles RER B",,"RV Fontenay aux Roses (zone 3)",,"Antony (zone 3)",,"Châtelet Les Halles",,,,N,,
30921,2016-08-03,"Journée",49,,"Michelle Lacayo",17,17,17,1,2,1999/12/30 08:49:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:20:00,1999/12/30 16:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 16:41:00,"Paris Gare de Lyon",,"RV Bois le Roi (zone 5)","Samois.","Fontainebleau Avon (zone 5)",,"Paris Gare de Lyon",,,,N,,
30922,2016-08-03,"Journée",0,"De Versailles à St Cyr l'Ecole","Philippe Obry et Christine Bréau",12,12,12,1,1,1999/12/30 11:58:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 12:10:00,1999/12/30 17:23:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 17:52:00,"Paris Montparnasse",,"RV Versailles Chantiers (zone 4)","Forêt de Versailles, étangs de la Geneste, du Val et du Moulin à Renard. Dénivelées.","St Cyr (zone 5)",,"Paris Montparnasse",,,"IGN 2214 ET.",N,,
31154,2016-08-03,"Surprise",22,"randonnée du soir","Françoise",11,11,11,1,2,1999/12/30 19:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 22:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 00:00:00,"Bir Hakeim",,,"randonnée du soir urbaine le long de la Seine. rv sortie métro angle rue Nélaton. Emporter pic nic.","Cour St Emilion",,,,,,N,,
31156,2016-08-03,"Surprise",0,,"Jacques Dubois",4,16,,2,2,1999/12/30 08:46:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 09:26:00,1999/12/30 13:30:00,1999/12/30 00:00:00,1999/12/30 00:00:00,1999/12/30 14:11:00,"Paris Gare de Lyon",,"Fontainebleau Avon (zone 5)","Parcours varié.","Fontainebleau Avon (zone 5)",,"Paris Gare de Lyon",,,,N,,
